RoomsCount;TotalArea;FloorType;WallType;RepairType;BuildingAge;BalconyBlockPresence;ElevatorPresence;BanksCount;BarsCount;KindergartensCount;FillingStationsCount;CafesCount;CinemasCount;SubwayStationcCount;ClothingStoresCount;PublicTransportStopsCount;CulturalParksCount;PizzeriasCount;ChildsClinicsCount;PostOfficesCount;DentalClinicsCount;GroceryStoresCount;ShoppingMallsCount;UniversitiesCount;SchoolsCount;Value
1;38,8;Не первый и не последний;Кирпичные;Евроремонт;7;Да;Нет;2;0;2;1;0;0;0;0;1;1;1;3;1;2;6;1;0;2;2950000
3;133;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Нет;23;8;12;3;9;2;2;17;8;1;4;3;4;35;24;15;4;9;7800000
1;36,9;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;3199000
1;38,13;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;3100000
1;30;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Нет;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;2400000
2;66;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;2888000
2;80;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Нет;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;4750000
3;100;Не первый и не последний;Кирпичные;Без ремонта;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;5488000
1;40;Не первый и не последний;Кирпичные;Дизайнерский ремонт;8;Да;Да;23;8;12;3;9;2;2;17;8;1;4;3;4;35;24;15;4;9;3777000
3;140;Последний;Кирпичные;Дизайнерский ремонт;8;Да;Да;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000000
4;170;Не первый и не последний;Кирпичные;Евроремонт;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;12750000
2;88,2;Не первый и не последний;Кирпичные;Евроремонт;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;6807000
3;88,2;Не первый и не последний;Кирпичные;Евроремонт;8;Да;Да;11;6;12;3;3;1;0;7;6;2;2;7;3;21;20;7;1;8;6807000
